categoria,pregunta,respuesta,id_pregunta,Fecha de creación,Ultima modificación
Soporte y Atención,¿Qué incluye el soporte técnico?,"Incluye atención a fallas, dudas, ajustes menores, monitoreo de flujos y recomendaciones personalizadas.",,,
Soporte y Atención,¿Hay atención en fin de semana?,"En planes avanzados, sí. Y si no tienes ese plan, igualmente tratamos de responder lo antes posible.",,,
Soporte y Atención,¿Cuánto tardan en responder dudas?,"Generalmente respondemos en menos de 12 horas. En planes premium, puede ser entre 2 y 6 horas.",,,
Soporte y Atención,¿Puedo hablar con alguien directamente?,"Sí, puedes agendar una llamada o enviarnos un mensaje directo.",,,
Soporte y Atención,¿El soporte es por WhatsApp o email?,Tenemos ambos canales disponibles. Tú eliges lo que más te convenga.,,,
Soporte y Atención,¿Puedo pedir ayuda con el diseño del flujo?,Claro. Te ayudamos a estructurarlo aunque no tengas conocimientos técnicos.,,,
Soporte y Atención,¿Incluye ajustes posteriores al setup?,"Sí, puedes pedir ajustes y mejoras según el alcance de tu plan.",,,
Soporte y Atención,¿Qué pasa si algo deja de funcionar?,"Lo revisamos contigo, hacemos pruebas y lo reparamos lo antes posible.",,,
Soporte y Atención,¿Tienen un canal de soporte en vivo?,"Sí, por WhatsApp o videollamada cuando sea necesario.",,,
Soporte y Atención,¿Qué horarios manejan para atención?,Lunes a viernes de 9 am a 7 pm. Sábados con atención limitada para casos urgentes.,,,
Soporte y Atención,¿Puedo agendar una llamada de soporte?,"Sí, puedes hacerlo desde interconecta.capital/reuniones o por mensaje directo.",,,
Soporte y Atención,¿Qué pasa si se rompe una integración?,"Detectamos el error, te notificamos y lo corregimos con prioridad.",,,
Soporte y Atención,¿Tienen canal de Telegram?,"No oficialmente, pero si te funciona mejor, podemos habilitar uno contigo.",,,
Soporte y Atención,¿Hay prioridad por tipo de plan?,Sí. Los planes Premium y Dominio tienen atención prioritaria.,,,
Soporte y Atención,¿Cómo reporto un error?,"Nos escribes con el detalle y capturas si puedes. Mientras más info, más rápido lo resolvemos.",,,
Soporte y Atención,¿Tienen centro de ayuda o base de conocimiento?,"Estamos construyéndolo. Mientras tanto, entregamos guías personalizadas.",,,
Soporte y Atención,¿Puedo capacitar a mi equipo?,"Sí, ofrecemos sesiones virtuales para capacitar a tu equipo en el uso del sistema.",,,
Soporte y Atención,¿Hay guías paso a paso?,Sí. Entregamos manuales y videos adaptados a tu operación.,,,
Soporte y Atención,¿Puedo pedir ayuda personalizada?,"Siempre. Si algo no se entiende, te lo explicamos de forma clara.",,,
Soporte y Atención,¿Puedo ver mi historial de soporte?,"Sí, llevamos un registro interno y te lo podemos compartir si lo solicitas.",,,
Soporte y Atención,¿Tienen SLA garantizados?,"Sí, en planes Premium y Dominio. En planes básicos damos seguimiento constante.",,,
Soporte y Atención,¿Me pueden ayudar a migrar desde otro sistema?,"Sí. Migramos pacientes, flujos y procesos sin perder información.",,,
Soporte y Atención,¿Puedo recibir soporte desde el extranjero?,"Sí. Todo es remoto, atendemos clientes en México, LATAM y EE. UU.",,,
Soporte y Atención,¿Tienen atención en días festivos?,"En planes superiores sí. Para planes estándar, resolvemos si es urgente.",,,
Soporte y Atención,¿Cómo actualizo mis datos?,"Nos escribes y nosotros actualizamos tu nombre, horarios, servicios, precios, etc.",,,
Soporte y Atención,¿Puedo cambiar el número de WhatsApp?,"Sí. Requiere proceso técnico, pero te guiamos paso a paso.",,,
Soporte y Atención,¿Me ayudan a entender los reportes?,Sí. Te explicamos cómo interpretar cada métrica y sacarle provecho.,,,
Soporte y Atención,¿Puedo solicitar soporte por video llamada?,Sí. Agendamos la videollamada y resolvemos en tiempo real.,,,
Soporte y Atención,¿Puedo tener soporte en inglés?,Yes! We can provide full support in English if needed.,,,
Soporte y Atención,¿Me ayudan con nuevas ideas de automatización?,"¡Claro! Siempre que detectamos una mejora posible, te la proponemos.",,,
